,topic,category 0,category 1,category 2,category 3,category 4,category 5
149,Legislative participation of Javanese,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Ethnic Groups,Legislative participation of Javanese
150,Policy influence of Betawi,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Ethnic Groups,Policy influence of Betawi
151,Electoral candidacy diversity,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Ethnic Groups,Electoral candidacy diversity
152,Representation of Age Demographics,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Age Demographics,
153,Youth Voter Turnout,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Age Demographics,Youth Voter Turnout
154,Age Diversity in Political Candidates,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Age Demographics,Age Diversity in Political Candidates
155,Age Composition in Legislative Bodies,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Age Demographics,Age Composition in Legislative Bodies
156,Representation of Women's Groups,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Women's Groups,
157,Women's participation in local government councils,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Women's Groups,Women's participation in local government councils
158,Proportion of women candidates in regional elections,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Women's Groups,Proportion of women candidates in regional elections
159,Women's leadership roles in political parties,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Women's Groups,Women's leadership roles in political parties
160,Allocated Seats for Electoral Districts,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,,
161,Population Distribution Across Districts,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,Population Distribution Across Districts,
162,Urbanization Levels in Districts,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,Population Distribution Across Districts,Urbanization Levels in Districts
163,Population Density Variations,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,Population Distribution Across Districts,Population Density Variations
164,District Boundary Adjustments,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,District Boundary Adjustments,
165,Legislative Representation Allocation,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,District Boundary Adjustments,Legislative Representation Allocation
166,Resource Allocation among Districts,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,District Boundary Adjustments,Resource Allocation among Districts
167,Electoral District Competitiveness,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,District Boundary Adjustments,Electoral District Competitiveness
168,Voter Turnout per District,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,Voter Turnout per District,
169,Voter Registration Rates per District,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,Voter Turnout per District,Voter Registration Rates per District
170,Voting Accessibility and Facilities per District,Political Indicators,Political Party Representation,Legislative Seats Allocation,Allocated Seats for Electoral Districts,Voter Turnout per District,Voting Accessibility and Facilities per District
171,Local Political Leadership,Political Indicators,Political Party Representation,Local Political Leadership,,,
172,Electoral Participation Rates,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,,
173,Voter Registration Levels,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,Voter Registration Levels,
174,Youth Voter Registration Rates,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,Voter Registration Levels,Youth Voter Registration Rates
175,Urban Versus Rural Voter Registration,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,Voter Registration Levels,Urban Versus Rural Voter Registration
176,Registration of New Voters,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,Voter Registration Levels,Registration of New Voters
177,Voter Turnout Variance by Region,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,Voter Turnout Variance by Region,
178,Voter Participation Rate in Urban Areas,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,Voter Turnout Variance by Region,Voter Participation Rate in Urban Areas
179,Voter Participation Rate in Rural Areas,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,Voter Turnout Variance by Region,Voter Participation Rate in Rural Areas
180,Voter Participation Rate among Ethnic Minorities,Political Indicators,Political Party Representation,Local Political Leadership,Electoral Participation Rates,Voter Turnout Variance by Region,Voter Participation Rate among Ethnic Minorities
181,Approval Ratings of Elected Officials,Political Indicators,Political Party Representation,Local Political Leadership,Approval Ratings of Elected Officials,,
182,Public Trust in Policy Decisions,Political Indicators,Political Party Representation,Local Political Leadership,Approval Ratings of Elected Officials,Public Trust in Policy Decisions,
