,topic,category 0,category 1,category 2,category 3,category 4,category 5
42,Egg Viability Rate,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Reproductive Success,Egg Viability Rate
43,Juvenile Survival Rates,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Reproductive Success,Juvenile Survival Rates
44,Reproductive Maturity Onset,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Reproductive Success,Reproductive Maturity Onset
45,Endemic Species Age Structure,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Age Structure,
46,Average Age of Endemic Species,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Age Structure,Average Age of Endemic Species
47,Age Class Distribution of Endemic Species,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Endemic Species Proportion,Endemic Species Age Structure,Age Class Distribution of Endemic Species
48,Trophic Level Distribution,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Trophic Level Distribution,,
49,Predatory Fish Biomass,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Trophic Level Distribution,Predatory Fish Biomass,
50,Offshore Predatory Fish Biomass Distribution,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Trophic Level Distribution,Predatory Fish Biomass,Offshore Predatory Fish Biomass Distribution
51,Predatory Fish Biomass Diversity Index,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Trophic Level Distribution,Predatory Fish Biomass,Predatory Fish Biomass Diversity Index
52,Predatory Fish Age Class Biomass,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Trophic Level Distribution,Predatory Fish Biomass,Predatory Fish Age Class Biomass
53,Herbivorous Fish Abundance,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Trophic Level Distribution,Herbivorous Fish Abundance,
54,Species-specific Population Counts,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Trophic Level Distribution,Herbivorous Fish Abundance,Species-specific Population Counts
55,Habitat Utilization Patterns,Fish Population Metrics,Fish Biomass Levels,Fish Species Diversity,Trophic Level Distribution,Herbivorous Fish Abundance,Habitat Utilization Patterns
56,Juvenile Fish Growth Rates,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,,,
57,Length-at-age of Juvenile Fish,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,,
58,Juvenile Fish Growth Rate,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Juvenile Fish Growth Rate,
59,Nutritional Status of Juvenile Fish,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Juvenile Fish Growth Rate,Nutritional Status of Juvenile Fish
60,Prey Availability for Juvenile Fish,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Juvenile Fish Growth Rate,Prey Availability for Juvenile Fish
61,Juvenile Fish Habitat Quality,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Juvenile Fish Growth Rate,Juvenile Fish Habitat Quality
62,Size Variation Across Populations,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Size Variation Across Populations,
63,Regional size distribution differences,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Size Variation Across Populations,Regional size distribution differences
64,Size variation within migratory groups,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Size Variation Across Populations,Size variation within migratory groups
65,Age-specific Growth Patterns,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Age-specific Growth Patterns,
66,Age-specific growth intervals,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Age-specific Growth Patterns,Age-specific growth intervals
67,Age-class proportion within populations,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Length-at-age of Juvenile Fish,Age-specific Growth Patterns,Age-class proportion within populations
68,Juvenile Fish Weight,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,,
69,Growth rate of juvenile fish,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Growth rate of juvenile fish,
70,Weight of juvenile fish,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Growth rate of juvenile fish,Weight of juvenile fish
71,Length of juvenile fish,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Growth rate of juvenile fish,Length of juvenile fish
72,Nutritional content of juvenile fish diet,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Nutritional content of juvenile fish diet,
73,Protein levels in juvenile fish diet,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Nutritional content of juvenile fish diet,Protein levels in juvenile fish diet
74,Micronutrient composition of juvenile fish diet,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Nutritional content of juvenile fish diet,Micronutrient composition of juvenile fish diet
75,Exposure to offshore energy structures,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Exposure to offshore energy structures,
76,Fish spatial distribution around energy structures,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Exposure to offshore energy structures,Fish spatial distribution around energy structures
77,Fish spawning success near energy installations,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Exposure to offshore energy structures,Fish spawning success near energy installations
78,Species diversity in proximity to offshore platforms,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Exposure to offshore energy structures,Species diversity in proximity to offshore platforms
79,Growth rates of fish populations near turbines,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Exposure to offshore energy structures,Growth rates of fish populations near turbines
80,Juvenile fish fat reserves,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Juvenile fish fat reserves,
81,Fat composition in juvenile fish,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Juvenile fish fat reserves,Fat composition in juvenile fish
82,Fat storage capacity in juvenile fish tissue,Fish Population Metrics,Fish Biomass Levels,Juvenile Fish Growth Rates,Juvenile Fish Weight,Juvenile fish fat reserves,Fat storage capacity in juvenile fish tissue
83,Predator-Prey Biomass Ratios,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,,,
84,Predator Biomass near Energy Installations,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,,
85,Size of Predator Feeding Aggregations,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Size of Predator Feeding Aggregations,
86,Density of Predator Aggregations,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Size of Predator Feeding Aggregations,Density of Predator Aggregations
87,Geographical Distribution of Feeding Sites,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Size of Predator Feeding Aggregations,Geographical Distribution of Feeding Sites
88,Species Diversity of Predators,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Species Diversity of Predators,
89,Genetic Diversity Within Predator Species,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Species Diversity of Predators,Genetic Diversity Within Predator Species
90,Habitat Range of Predator Species,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Species Diversity of Predators,Habitat Range of Predator Species
91,Age Structure of Predator Populations,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Age Structure of Predator Populations,
92,Juvenile Ratio within Predator Populations,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Age Structure of Predator Populations,Juvenile Ratio within Predator Populations
93,Adult Predator Longevity,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Age Structure of Predator Populations,Adult Predator Longevity
94,Age Class Distribution Peaks,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Age Structure of Predator Populations,Age Class Distribution Peaks
95,Old Predator Survival Rates,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Predator Biomass near Energy Installations,Age Structure of Predator Populations,Old Predator Survival Rates
96,Prey Biomass Reduction in Energy Zones,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Prey Biomass Reduction in Energy Zones,,
97,Density of Prey Species in Energy Zones,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Prey Biomass Reduction in Energy Zones,Density of Prey Species in Energy Zones,
98,Abundance of Small Pelagic Fish,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Prey Biomass Reduction in Energy Zones,Density of Prey Species in Energy Zones,Abundance of Small Pelagic Fish
99,Biomass of Benthic Invertebrates,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Prey Biomass Reduction in Energy Zones,Density of Prey Species in Energy Zones,Biomass of Benthic Invertebrates
100,Density of Zooplankton Populations,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Prey Biomass Reduction in Energy Zones,Density of Prey Species in Energy Zones,Density of Zooplankton Populations
101,Diversity of Prey Species in Energy Zones,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Prey Biomass Reduction in Energy Zones,Diversity of Prey Species in Energy Zones,
102,Evenness of Prey Species,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Prey Biomass Reduction in Energy Zones,Diversity of Prey Species in Energy Zones,Evenness of Prey Species
103,Species Turnover Rate,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Prey Biomass Reduction in Energy Zones,Diversity of Prey Species in Energy Zones,Species Turnover Rate
104,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,,
105,Predator Hunting Efficiency,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Predator Hunting Efficiency,
106,Prey Catch Rates,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Predator Hunting Efficiency,Prey Catch Rates
107,Predator Energy Expenditure,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Predator Hunting Efficiency,Predator Energy Expenditure
108,Prey Behavioral Changes,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Prey Behavioral Changes,
109,Migration Patterns,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Prey Behavioral Changes,Migration Patterns
110,Grouping Behavior,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Prey Behavioral Changes,Grouping Behavior
111,Acoustic Sensitivity Levels,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Acoustic Sensitivity Levels,
112,Species-specific acoustic sensitivity thresholds,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Acoustic Sensitivity Levels,Species-specific acoustic sensitivity thresholds
113,Frequency response variations within fish populations,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Acoustic Sensitivity Levels,Frequency response variations within fish populations
114,Sound-pressure level tolerances among different fish habitats,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Acoustic Sensitivity Levels,Sound-pressure level tolerances among different fish habitats
115,Inter-species variation in disruption from underwater noise,Fish Population Metrics,Fish Biomass Levels,Predator-Prey Biomass Ratios,Imbalance in Predator-Prey Dynamics from Acoustic Disruption,Acoustic Sensitivity Levels,Inter-species variation in disruption from underwater noise
116,Habitat-Specific Biomass Distribution,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,,,
117,Reef Habitat Biomass Levels,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,,
118,Coral Reef Fish Density,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Coral Reef Fish Density,
119,Juvenile Fish Recruitment,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Coral Reef Fish Density,Juvenile Fish Recruitment
120,Reef Habitat Complexity,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Coral Reef Fish Density,Reef Habitat Complexity
121,Larval Dispersal Patterns,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Coral Reef Fish Density,Larval Dispersal Patterns
122,Herbivorous Fish Biomass,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Herbivorous Fish Biomass,
123,Size Distribution of Herbivorous Fish,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Herbivorous Fish Biomass,Size Distribution of Herbivorous Fish
124,Species-Specific Biomass Contributions of Herbivorous Fish,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Herbivorous Fish Biomass,Species-Specific Biomass Contributions of Herbivorous Fish
125,Predatory Fish Abundance,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Predatory Fish Abundance,
126,Predation Rates on Prey Species,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Predatory Fish Abundance,Predation Rates on Prey Species
127,Habitat Use Patterns of Predatory Fish,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Predatory Fish Abundance,Habitat Use Patterns of Predatory Fish
128,Reef Resilient Species Diversity,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Reef Resilient Species Diversity,
129,Species Genetic Variability,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Reef Habitat Biomass Levels,Reef Resilient Species Diversity,Species Genetic Variability
130,Seagrass Meadow Biomass Distribution,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,,
131,Seagrass Biomass Density,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Biomass Density,
132,Benthic Fish Abundance within Seagrass Meadows,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Biomass Density,Benthic Fish Abundance within Seagrass Meadows
133,Juvenile Fish Habitats in Seagrass Areas,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Biomass Density,Juvenile Fish Habitats in Seagrass Areas
134,Predator-Prey Dynamics in Seagrass Ecosystems,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Biomass Density,Predator-Prey Dynamics in Seagrass Ecosystems
135,Species Diversity in Seagrass Meadows,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Species Diversity in Seagrass Meadows,
136,Endemic Species Count,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Species Diversity in Seagrass Meadows,Endemic Species Count
137,Seagrass Coverage Area,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Coverage Area,
138,Extent of Seagrass Habitat Fragmentation,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Coverage Area,Extent of Seagrass Habitat Fragmentation
139,Edge-to-Interior Ratio of Seagrass Meadows,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Coverage Area,Edge-to-Interior Ratio of Seagrass Meadows
140,Seagrass Meadow Health Index,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Meadow Health Index,
141,Fish Abundance in Seagrass Meadows,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Meadow Health Index,Fish Abundance in Seagrass Meadows
142,Juvenile Fish Recruitment Rates,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Meadow Health Index,Juvenile Fish Recruitment Rates
143,Fish Species Dominance in Seagrass Habitats,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Meadow Health Index,Fish Species Dominance in Seagrass Habitats
144,Fish Biomass Distribution in Seagrass Zones,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Seagrass Meadow Biomass Distribution,Seagrass Meadow Health Index,Fish Biomass Distribution in Seagrass Zones
145,Open Ocean Biomass Concentrations,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,,
146,Pelagic Fish Biomass Density,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Pelagic Fish Biomass Density,
147,Trophic Level Distribution of Pelagic Fish,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Pelagic Fish Biomass Density,Trophic Level Distribution of Pelagic Fish
148,Spatial Distribution of Pelagic Fish within Offshore Energy Areas,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Pelagic Fish Biomass Density,Spatial Distribution of Pelagic Fish within Offshore Energy Areas
149,Migratory Species Biomass Levels,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Migratory Species Biomass Levels,
150,Seasonal Biomass Distribution,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Migratory Species Biomass Levels,Seasonal Biomass Distribution
151,Migration Timing Biomass Peaks,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Migratory Species Biomass Levels,Migration Timing Biomass Peaks
152,Larval Fish Biomass Concentrations,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Larval Fish Biomass Concentrations,
153,Larval Fish Recruitment Rates,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Larval Fish Biomass Concentrations,Larval Fish Recruitment Rates
154,Larval Fish Mortality Rates,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Larval Fish Biomass Concentrations,Larval Fish Mortality Rates
155,Larval Fish Growth Stages,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Larval Fish Biomass Concentrations,Larval Fish Growth Stages
156,Deep-Sea Fish Biomass Tendencies,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Deep-Sea Fish Biomass Tendencies,
157,Deep-Sea Fish Species Diversity Levels,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Deep-Sea Fish Biomass Tendencies,Deep-Sea Fish Species Diversity Levels
158,Benthic Fish Biomass Distribution,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Deep-Sea Fish Biomass Tendencies,Benthic Fish Biomass Distribution
159,Deep-Sea Predator-Prey Biomass Ratio,Fish Population Metrics,Fish Biomass Levels,Habitat-Specific Biomass Distribution,Open Ocean Biomass Concentrations,Deep-Sea Fish Biomass Tendencies,Deep-Sea Predator-Prey Biomass Ratio
