,topic,category 0,category 1,category 2,category 3,category 4,category 5
32,Invasive Species Distribution Range,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,
33,Habitat Occupancy,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Habitat Occupancy
34,Geographical Spread,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Geographical Spread
35,Altitudinal Variation,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Altitudinal Variation
36,Aquatic Ecosystem Penetration,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Aquatic Ecosystem Penetration
37,Invasive Species Habitat Range,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Invasive Species Habitat Range
38,Non-native Species Distribution Area,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Non-native Species Distribution Area
39,Alien Species Range,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Alien Species Range
40,Invasive Organism Geographic Spread,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Invasive Organism Geographic Spread
41,Exotic Species Range,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Exotic Species Range
42,Invasive Species Spread Zone,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Invasive Species Spread Zone
43,Introduced Species Distribution,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Introduced Species Distribution
44,Invasive Species Geographic Extent,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Invasive Species Geographic Extent
45,Non-indigenous Species Range,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Non-indigenous Species Range
46,Invasive Species Occupancy Area,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Invasive Species Occupancy Area
47,Invasive Species Range Map,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Invasive Species Range Map
48,Invasive Species Presence Area,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Invasive Species Presence Area
49,Invasive Species Distribution Map,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Distribution Range,Invasive Species Distribution Map
50,Invasive Species Inventory,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Inventory,
51,Non-Native Species Tally,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Non-Native Species Tally,
52,Exotic Species Enumeration,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Exotic Species Enumeration,
53,Alien Species Assessment,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Alien Species Assessment,
54,Invasive Flora and Fauna Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Flora and Fauna Count,
55,Introduced Species Survey,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Introduced Species Survey,
56,Foreign Species Register,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Foreign Species Register,
57,Invasive Organism Census,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Organism Census,
58,Non-Indigenous Species Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Non-Indigenous Species Count,
59,Invasive Species Monitoring,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count,Invasive Species Monitoring,
60,Endemic Species Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,,
61,Habitat Range of Endemic Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,
62,Habitat Fragmentation Severity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Habitat Fragmentation Severity
63,Availability of Critical Habitats,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Availability of Critical Habitats
64,Native Species Distribution,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Native Species Distribution
65,Endemic Species Habitat,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Endemic Species Habitat
66,Geographic Range of Endemics,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Geographic Range of Endemics
67,Endemic Range,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Endemic Range
68,Localized Species Habitat,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Localized Species Habitat
69,Endemic Biodiversity Zone,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Endemic Biodiversity Zone
70,Restricted Habitat Range,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Habitat Range of Endemic Species,Restricted Habitat Range
71,Population Diversity of Endemic Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,
72,Genetic Diversity Within Endemic Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Genetic Diversity Within Endemic Species
73,Species Richness of Endemic Populations,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Species Richness of Endemic Populations
74,Evenness of Endemic Species Distribution,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Evenness of Endemic Species Distribution
75,Biodiversity of Native Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Biodiversity of Native Species
76,Endemic Species Variation,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Endemic Species Variation
77,Local Species Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Local Species Diversity
78,Indigenous Species Richness,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Indigenous Species Richness
79,Native Fauna and Flora Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Native Fauna and Flora Diversity
80,Diversity of Local Endemics,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Diversity of Local Endemics
81,Species Variety in Endemic Populations,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Species Variety in Endemic Populations
82,Endemic Biodiversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Endemic Biodiversity
83,Genetic Variation in Native Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Genetic Variation in Native Species
84,Ecological Diversity of Indigenous Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Population Diversity of Endemic Species,Ecological Diversity of Indigenous Species
85,Reproductive Success Rate of Endemic Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,
86,Nesting Site Occupancy,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Nesting Site Occupancy
87,Egg Viability Rate,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Egg Viability Rate
88,Endemic Species Reproductive Efficiency,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Endemic Species Reproductive Efficiency
89,Native Species Breeding Success Rate,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Native Species Breeding Success Rate
90,Local Species Reproduction Rate,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Local Species Reproduction Rate
91,Indigenous Species Fertility Rate,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Indigenous Species Fertility Rate
92,Endemic Species Propagation Success,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Endemic Species Propagation Success
93,Native Species Reproductive Output,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Native Species Reproductive Output
94,Indigenous Species Reproductive Performance,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Reproductive Success Rate of Endemic Species,Indigenous Species Reproductive Performance
95,Native Species Inventory,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Native Species Inventory,
96,Local Species Enumeration,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Local Species Enumeration,
97,Indigenous Species Tally,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Indigenous Species Tally,
98,Regional Species Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Regional Species Count,
99,Endemic Flora and Fauna Assessment,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Endemic Flora and Fauna Assessment,
100,Biodiversity Assessment,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Biodiversity Assessment,
101,Species Richness Measurement,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Species Richness Measurement,
102,Local Biodiversity Index,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Local Biodiversity Index,
103,Endemic Species Assessment,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Endemic Species Assessment,
104,Native Biodiversity Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Endemic Species Count,Native Biodiversity Count,
105,Biodiversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Biodiversity,,
106,Species Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Species Diversity,,
107,Taxonomic Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Taxonomic Diversity,,
108,Ecological Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Ecological Diversity,,
109,Floral and Faunal Variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Floral and Faunal Variety,,
110,Biological Variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Biological Variety,,
111,Species Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Species Count,,
112,Genetic Diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,,,
113,Allelic Variability,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,,
114,Mutational Frequencies,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,
115,Rate of Somatic Mutations,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Rate of Somatic Mutations
116,Microevolutionary Changes,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Microevolutionary Changes
117,Environmental Mutagen Presence,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Environmental Mutagen Presence
118,Mutation Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Mutation Rates
119,Alteration Frequencies,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Alteration Frequencies
120,Genetic Variation Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Genetic Variation Rates
121,Mutation Incidence,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Mutation Incidence
122,Genomic Alteration Frequencies,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Genomic Alteration Frequencies
123,Mutation Prevalence,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Mutation Prevalence
124,DNA Change Frequencies,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,DNA Change Frequencies
125,Genetic Mutation Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Genetic Mutation Rates
126,Allelic Frequencies,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Allelic Frequencies
127,Somatic Mutation Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Mutational Frequencies,Somatic Mutation Rates
128,Reproductive Success Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,
129,Offspring Survival Rate,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Offspring Survival Rate
130,Fecundity Levels,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Fecundity Levels
131,Breeding Frequency,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Breeding Frequency
132,Fertility Success Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Fertility Success Rates
133,Breeding Success Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Breeding Success Rates
134,Reproductive Efficiency,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Reproductive Efficiency
135,Reproductive Outcomes,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Reproductive Outcomes
136,Progeny Success Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Progeny Success Rates
137,Offspring Viability Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Offspring Viability Rates
138,Reproductive Achievement Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Reproductive Achievement Rates
139,Fecundity Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Fecundity Rates
140,Reproductive Performance Metrics,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Reproductive Performance Metrics
141,Success Rates of Reproduction,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Reproductive Success Rates,Success Rates of Reproduction
142,Population Genetic Structure,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,
143,Allele Frequency Distribution,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Allele Frequency Distribution
144,Gene Flow,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Gene Flow
145,Inbreeding Coefficient,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Inbreeding Coefficient
146,Population Genetics,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Population Genetics
147,Genetic Variation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Genetic Variation
148,Allelic Composition,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Allelic Composition
149,Genetic Architecture,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Genetic Architecture
150,Population Demographics,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Population Demographics
151,Genetic Differentiation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Genetic Differentiation
152,Genetic Substructure,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Genetic Substructure
153,Phylogeography,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Phylogeography
154,Biodiversity Genetics,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Biodiversity Genetics
155,Genetic Connectivity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Genetic Connectivity
156,Demographic Genetics,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Population Genetic Structure,Demographic Genetics
157,Allelic diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Allelic diversity,
158,Genetic variation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Genetic variation,
159,Allele frequency variation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Allele frequency variation,
160,Genetic polymorphism,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Genetic polymorphism,
161,Allelic heterogeneity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Allelic heterogeneity,
162,Allele variation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Allele variation,
163,Genetic diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Genetic diversity,
164,Allelic differences,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Allelic differences,
165,Nucleotide polymorphism,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Nucleotide polymorphism,
166,Genetic heterogeneity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Genetic heterogeneity,
167,Allelic variation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Allelic variation,
168,Locus variability,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Locus variability,
169,Allelic spectrum,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Variability,Allelic spectrum,
170,Gene Flow Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,,
171,Migration Rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,
172,Species Relocation Frequency,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Species Relocation Frequency
173,Seasonal Migration Periods,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Seasonal Migration Periods
174,Population Size Variability,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Population Size Variability
175,Migration Pathway Continuity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Migration Pathway Continuity
176,Population movement rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Population movement rates
177,Migration statistics,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Migration statistics
178,Mobility rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Mobility rates
179,Emigration rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Emigration rates
180,Immigration rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Immigration rates
181,Population relocation rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Population relocation rates
182,Transnational movement rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Transnational movement rates
183,Migration flow rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Migration flow rates
184,Resettlement rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Resettlement rates
185,Population transfer rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Population transfer rates
186,Cross-border movement rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Cross-border movement rates
187,Demographic migration rates,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Demographic migration rates
188,Movement patterns,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Migration Rates,Movement patterns
189,Reproductive Connectivity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,
190,Genetic Exchange Frequency,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Genetic Exchange Frequency
191,Spawning Site Availability,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Spawning Site Availability
192,Reproductive Linkage,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Reproductive Linkage
193,Reproductive Interaction,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Reproductive Interaction
194,Reproductive Association,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Reproductive Association
195,Reproductive Network,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Reproductive Network
196,Reproductive Cohesion,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Reproductive Cohesion
197,Reproductive Integration,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Reproductive Integration
198,Reproductive Continuity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Flow Rates,Reproductive Connectivity,Reproductive Continuity
