,topic,category 0,category 1,category 2,category 3
131,Habitat Resource Utilization,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Resource Utilization
132,Habitat Activity Rates,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Activity Rates
133,Habitat Preference Indices,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Preference Indices
134,Habitat Use Efficiency,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Use Efficiency
135,Habitat Interaction Rates,Fish Population Metrics,Species Abundance,Habitat Utilization Rates,Habitat Interaction Rates
136,Spawning Ground Availability,Fish Population Metrics,Species Abundance,Spawning Ground Availability,
137,Spawning Habitat Area,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Spawning Habitat Area
138,Water Quality in Spawning Zones,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Water Quality in Spawning Zones
139,Access Routes to Spawning Sites,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Access Routes to Spawning Sites
140,Breeding Habitat Accessibility,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Breeding Habitat Accessibility
141,Reproductive Site Availability,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Reproductive Site Availability
142,Nesting Area Access,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Nesting Area Access
143,Spawning Site Availability,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Spawning Site Availability
144,Fertility Ground Accessibility,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Fertility Ground Accessibility
145,Egg Laying Habitat Availability,Fish Population Metrics,Species Abundance,Spawning Ground Availability,Egg Laying Habitat Availability
146,Juvenile Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,
147,Predation Pressure Levels,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Predation Pressure Levels
148,Water Temperature Sensitivity,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Water Temperature Sensitivity
149,Habitat Disturbance Frequency,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Habitat Disturbance Frequency
150,Light Pollution Intensity,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Light Pollution Intensity
151,Noise Pollution Levels,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Noise Pollution Levels
152,Youth Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Youth Survival Rates
153,Young Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Young Survival Rates
154,Offspring Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Offspring Survival Rates
155,Fledgling Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Fledgling Survival Rates
156,Juvenile Mortality Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Juvenile Mortality Rates
157,Hatchling Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Hatchling Survival Rates
158,Immature Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Immature Survival Rates
159,Youngster Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Youngster Survival Rates
160,Neonate Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Neonate Survival Rates
161,Larval Survival Rates,Fish Population Metrics,Species Abundance,Juvenile Survival Rates,Larval Survival Rates
162,Population Density,Fish Population Metrics,Species Abundance,Population Density,
163,Species Richness,Fish Population Metrics,Species Abundance,Species Richness,
164,Biodiversity Levels,Fish Population Metrics,Species Abundance,Biodiversity Levels,
165,Community Composition,Fish Population Metrics,Species Abundance,Community Composition,
166,Organism Abundance,Fish Population Metrics,Species Abundance,Organism Abundance,
167,Ecological Abundance,Fish Population Metrics,Species Abundance,Ecological Abundance,
168,Age Structure Distribution,Fish Population Metrics,Age Structure Distribution,,
169,Average Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,
170,Growth Rate at Juvenile Stage,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Growth Rate at Juvenile Stage
171,Spawning Frequency,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Spawning Frequency
172,Size at Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Size at Maturity
173,Nutritional Status,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Nutritional Status
174,Predator-Induced Mortality,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Predator-Induced Mortality
175,Mean Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Mean Age of Maturity
176,Typical Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Typical Age of Maturity
177,Standard Maturity Age,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Standard Maturity Age
178,Median Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Median Age of Maturity
179,Common Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Common Age of Maturity
180,Expected Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Expected Age of Maturity
181,Normal Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Normal Age of Maturity
182,Usual Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Usual Age of Maturity
183,General Age of Maturity,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,General Age of Maturity
184,Average Maturation Age,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Average Maturation Age
185,Average Development Age,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Average Development Age
186,Typical Maturation Age,Fish Population Metrics,Age Structure Distribution,Average Age of Maturity,Typical Maturation Age
187,Age Class Dominance,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,
188,Proportion of Adult Fish,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Proportion of Adult Fish
189,Recruitment Success Rate,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Recruitment Success Rate
190,Age Distribution Variability,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Distribution Variability
191,Age-Specific Growth Rates,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age-Specific Growth Rates
192,Age Group Prevalence,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Group Prevalence
193,Age Category Dominance,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Category Dominance
194,Age Class Supremacy,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Class Supremacy
195,Age Range Dominance,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Range Dominance
196,Age Cohort Dominance,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Cohort Dominance
197,Age Class Authority,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Class Authority
198,Age Group Dominance,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Group Dominance
199,Age Stratification Dominance,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Stratification Dominance
200,Demographic Age Dominance,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Demographic Age Dominance
201,Age Class Leadership,Fish Population Metrics,Age Structure Distribution,Age Class Dominance,Age Class Leadership
202,Juvenile Proportion,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,
203,Juvenile Survival Rate,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Juvenile Survival Rate
204,Recruitment Rates,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Recruitment Rates
205,Juvenile Habitat Occupancy,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Juvenile Habitat Occupancy
206,Juvenile Growth Rates,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Juvenile Growth Rates
207,Youth Ratio,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Youth Ratio
208,Young Population Share,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Young Population Share
209,Minor Segment,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Minor Segment
210,Adolescent Fraction,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Adolescent Fraction
211,Child Demographic,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Child Demographic
212,Juvenile Share,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Juvenile Share
213,Youthful Component,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Youthful Component
214,Underage Proportion,Fish Population Metrics,Age Structure Distribution,Juvenile Proportion,Underage Proportion
215,Population Age Distribution,Fish Population Metrics,Age Structure Distribution,Population Age Distribution,
216,Demographic Age Structure,Fish Population Metrics,Age Structure Distribution,Demographic Age Structure,
217,Age Composition,Fish Population Metrics,Age Structure Distribution,Age Composition,
218,Age Category Distribution,Fish Population Metrics,Age Structure Distribution,Age Category Distribution,
219,Age Group Breakdown,Fish Population Metrics,Age Structure Distribution,Age Group Breakdown,
220,Age Profile Distribution,Fish Population Metrics,Age Structure Distribution,Age Profile Distribution,
221,Reproductive Rates,Fish Population Metrics,Reproductive Rates,,
222,Egg Viability,Fish Population Metrics,Reproductive Rates,Egg Viability,
223,Hatching Success Rate,Fish Population Metrics,Reproductive Rates,Egg Viability,Hatching Success Rate
224,Embryo Mortality Rate,Fish Population Metrics,Reproductive Rates,Egg Viability,Embryo Mortality Rate
225,Developmental Abnormalities,Fish Population Metrics,Reproductive Rates,Egg Viability,Developmental Abnormalities
226,Egg Size Variability,Fish Population Metrics,Reproductive Rates,Egg Viability,Egg Size Variability
227,Egg Density,Fish Population Metrics,Reproductive Rates,Egg Viability,Egg Density
228,Egg Fertility,Fish Population Metrics,Reproductive Rates,Egg Viability,Egg Fertility
229,Oocyte Viability,Fish Population Metrics,Reproductive Rates,Egg Viability,Oocyte Viability
230,Egg Health,Fish Population Metrics,Reproductive Rates,Egg Viability,Egg Health
231,Embryo Viability,Fish Population Metrics,Reproductive Rates,Egg Viability,Embryo Viability
232,Reproductive Potential,Fish Population Metrics,Reproductive Rates,Egg Viability,Reproductive Potential
233,Ovum Viability,Fish Population Metrics,Reproductive Rates,Egg Viability,Ovum Viability
234,Egg Quality,Fish Population Metrics,Reproductive Rates,Egg Viability,Egg Quality
235,Fertilization Potential,Fish Population Metrics,Reproductive Rates,Egg Viability,Fertilization Potential
236,Oocyte Quality,Fish Population Metrics,Reproductive Rates,Egg Viability,Oocyte Quality
237,Egg Development Capacity,Fish Population Metrics,Reproductive Rates,Egg Viability,Egg Development Capacity
238,Embryonic Viability,Fish Population Metrics,Reproductive Rates,Egg Viability,Embryonic Viability
239,Gamete Viability,Fish Population Metrics,Reproductive Rates,Egg Viability,Gamete Viability
240,Egg Life Span,Fish Population Metrics,Reproductive Rates,Egg Viability,Egg Life Span
241,Ovarian Function,Fish Population Metrics,Reproductive Rates,Egg Viability,Ovarian Function
242,Fertility Rates,Fish Population Metrics,Reproductive Rates,Fertility Rates,
243,Birth Rates,Fish Population Metrics,Reproductive Rates,Birth Rates,
244,Reproduction Rates,Fish Population Metrics,Reproductive Rates,Reproduction Rates,
245,Procreation Rates,Fish Population Metrics,Reproductive Rates,Procreation Rates,
246,Species Diversity Index,Fish Population Metrics,Species Diversity Index,,
247,Rare Species Count,Fish Population Metrics,Species Diversity Index,Rare Species Count,
248,Number of Offspring Produced,Fish Population Metrics,Species Diversity Index,Rare Species Count,Number of Offspring Produced
249,Range of Habitat Occupied,Fish Population Metrics,Species Diversity Index,Rare Species Count,Range of Habitat Occupied
250,Incidence of Disease in Population,Fish Population Metrics,Species Diversity Index,Rare Species Count,Incidence of Disease in Population
251,Survival Rates of Juveniles,Fish Population Metrics,Species Diversity Index,Rare Species Count,Survival Rates of Juveniles
252,Endangered Species Tally,Fish Population Metrics,Species Diversity Index,Rare Species Count,Endangered Species Tally
253,Uncommon Species Enumeration,Fish Population Metrics,Species Diversity Index,Rare Species Count,Uncommon Species Enumeration
254,Scarce Species Inventory,Fish Population Metrics,Species Diversity Index,Rare Species Count,Scarce Species Inventory
255,Limited Species Assessment,Fish Population Metrics,Species Diversity Index,Rare Species Count,Limited Species Assessment
256,Unique Species Count,Fish Population Metrics,Species Diversity Index,Rare Species Count,Unique Species Count
257,Infrequent Species Listing,Fish Population Metrics,Species Diversity Index,Rare Species Count,Infrequent Species Listing
258,Threatened Species Count,Fish Population Metrics,Species Diversity Index,Rare Species Count,Threatened Species Count
259,Biodiversity Assessment,Fish Population Metrics,Species Diversity Index,Rare Species Count,Biodiversity Assessment
260,Vulnerable Species Register,Fish Population Metrics,Species Diversity Index,Rare Species Count,Vulnerable Species Register
261,Specialized Species Survey,Fish Population Metrics,Species Diversity Index,Rare Species Count,Specialized Species Survey
262,Genetic Variation within Fish Species,Fish Population Metrics,Species Diversity Index,Genetic Variation within Fish Species,
263,Allele Frequency Diversity,Fish Population Metrics,Species Diversity Index,Genetic Variation within Fish Species,Allele Frequency Diversity
264,Gene Flow Rates,Fish Population Metrics,Species Diversity Index,Genetic Variation within Fish Species,Gene Flow Rates
265,Genetic Diversity in Fish Populations,Fish Population Metrics,Species Diversity Index,Genetic Variation within Fish Species,Genetic Diversity in Fish Populations
266,Allelic Variation among Fish Species,Fish Population Metrics,Species Diversity Index,Genetic Variation within Fish Species,Allelic Variation among Fish Species
267,Genetic Heterogeneity in Fish,Fish Population Metrics,Species Diversity Index,Genetic Variation within Fish Species,Genetic Heterogeneity in Fish
268,Genomic Variation within Fish Taxa,Fish Population Metrics,Species Diversity Index,Genetic Variation within Fish Species,Genomic Variation within Fish Taxa
269,Biodiversity Index,Fish Population Metrics,Species Diversity Index,Biodiversity Index,
270,Species Richness Index,Fish Population Metrics,Species Diversity Index,Species Richness Index,
271,Ecological Diversity Index,Fish Population Metrics,Species Diversity Index,Ecological Diversity Index,
272,Biological Diversity Measure,Fish Population Metrics,Species Diversity Index,Biological Diversity Measure,
273,Recruitment Levels,Fish Population Metrics,Recruitment Levels,,
274,Juvenile Settlement Density,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,
275,Juvenile Habitat Coverage,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Juvenile Habitat Coverage
276,Settlement Success Rate,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Settlement Success Rate
277,Food Availability at Settlement Sites,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Food Availability at Settlement Sites
278,Water Quality Parameters affecting Juveniles,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Water Quality Parameters affecting Juveniles
279,Juvenile Predator Abundance,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Juvenile Predator Abundance
280,Light Pollution Levels affecting Settlements,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Light Pollution Levels affecting Settlements
281,Young Population Concentration,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Young Population Concentration
282,Youth Settlement Density,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Youth Settlement Density
283,Juvenile Population Distribution,Fish Population Metrics,Recruitment Levels,Juvenile Settlement Density,Juvenile Population Distribution
