,topic,category 0,category 1,category 2,category 3
68,Age-Class Range Variability,Fish Population Metrics,Fish Age Structure,Age-Class Distribution Diversity,Age-Class Range Variability
69,Evenness of Age Distribution,Fish Population Metrics,Fish Age Structure,Age-Class Distribution Diversity,Evenness of Age Distribution
70,Age-Class Representation Balance,Fish Population Metrics,Fish Age Structure,Age-Class Distribution Diversity,Age-Class Representation Balance
71,Fish Distribution Patterns,Fish Population Metrics,Fish Distribution Patterns,,
72,Geographic Range Shifts,Fish Population Metrics,Fish Distribution Patterns,Geographic Range Shifts,
73,Latitude Dispersion,Fish Population Metrics,Fish Distribution Patterns,Geographic Range Shifts,Latitude Dispersion
74,Regional Occupancy Rate,Fish Population Metrics,Fish Distribution Patterns,Geographic Range Shifts,Regional Occupancy Rate
75,Proximity to Offshore Structures,Fish Population Metrics,Fish Distribution Patterns,Geographic Range Shifts,Proximity to Offshore Structures
76,Depth Distribution Variability,Fish Population Metrics,Fish Distribution Patterns,Depth Distribution Variability,
77,Vertical Migration Patterns,Fish Population Metrics,Fish Distribution Patterns,Depth Distribution Variability,Vertical Migration Patterns
78,Thermal Layer Occupancy,Fish Population Metrics,Fish Distribution Patterns,Depth Distribution Variability,Thermal Layer Occupancy
79,Nutrient Zone Utilization,Fish Population Metrics,Fish Distribution Patterns,Depth Distribution Variability,Nutrient Zone Utilization
80,Light Penetration Zone Occupancy,Fish Population Metrics,Fish Distribution Patterns,Depth Distribution Variability,Light Penetration Zone Occupancy
81,Pressure Tolerance Distribution,Fish Population Metrics,Fish Distribution Patterns,Depth Distribution Variability,Pressure Tolerance Distribution
82,Habitat Utilization Changes,Fish Population Metrics,Fish Distribution Patterns,Habitat Utilization Changes,
83,Species-Specific Habitat Preference,Fish Population Metrics,Fish Distribution Patterns,Habitat Utilization Changes,Species-Specific Habitat Preference
84,Availability of Shelter Habitat,Fish Population Metrics,Fish Distribution Patterns,Habitat Utilization Changes,Availability of Shelter Habitat
85,Proximity to Food Resources,Fish Population Metrics,Fish Distribution Patterns,Habitat Utilization Changes,Proximity to Food Resources
86,Reproductive Site Utilization,Fish Population Metrics,Fish Distribution Patterns,Habitat Utilization Changes,Reproductive Site Utilization
87,Seasonal Migration Alteration,Fish Population Metrics,Fish Distribution Patterns,Seasonal Migration Alteration,
88,Migration Timing Shifts,Fish Population Metrics,Fish Distribution Patterns,Seasonal Migration Alteration,Migration Timing Shifts
89,Migration Route Changes,Fish Population Metrics,Fish Distribution Patterns,Seasonal Migration Alteration,Migration Route Changes
90,Migration Group Size Variation,Fish Population Metrics,Fish Distribution Patterns,Seasonal Migration Alteration,Migration Group Size Variation
91,Aggregation Density Variation,Fish Population Metrics,Fish Distribution Patterns,Aggregation Density Variation,
92,Spatial Distribution Consistency,Fish Population Metrics,Fish Distribution Patterns,Aggregation Density Variation,Spatial Distribution Consistency
93,Reproductive Aggregation Frequency,Fish Population Metrics,Fish Distribution Patterns,Aggregation Density Variation,Reproductive Aggregation Frequency
94,Predator Avoidance Clustering,Fish Population Metrics,Fish Distribution Patterns,Aggregation Density Variation,Predator Avoidance Clustering
95,Food Availability Clustering,Fish Population Metrics,Fish Distribution Patterns,Aggregation Density Variation,Food Availability Clustering
96,Population Density Hotspots,Fish Population Metrics,Fish Distribution Patterns,Aggregation Density Variation,Population Density Hotspots
97,Spawning Stock Size,Fish Population Metrics,Spawning Stock Size,,
98,Reproductive Maturity Rates,Fish Population Metrics,Spawning Stock Size,Reproductive Maturity Rates,
99,Age at Reproductive Maturity,Fish Population Metrics,Spawning Stock Size,Reproductive Maturity Rates,Age at Reproductive Maturity
100,Percentage of Individuals Reaching Maturity,Fish Population Metrics,Spawning Stock Size,Reproductive Maturity Rates,Percentage of Individuals Reaching Maturity
101,Proportion of Mature Individuals in Population,Fish Population Metrics,Spawning Stock Size,Reproductive Maturity Rates,Proportion of Mature Individuals in Population
102,Maturation Size,Fish Population Metrics,Spawning Stock Size,Reproductive Maturity Rates,Maturation Size
103,Genetic Diversity in Maturation Traits,Fish Population Metrics,Spawning Stock Size,Reproductive Maturity Rates,Genetic Diversity in Maturation Traits
104,Egg Production Capacity,Fish Population Metrics,Spawning Stock Size,Egg Production Capacity,
105,Yolk Quality,Fish Population Metrics,Spawning Stock Size,Egg Production Capacity,Yolk Quality
106,Egg Size,Fish Population Metrics,Spawning Stock Size,Egg Production Capacity,Egg Size
107,Fecundity Rate,Fish Population Metrics,Spawning Stock Size,Egg Production Capacity,Fecundity Rate
108,Larval Viability,Fish Population Metrics,Spawning Stock Size,Egg Production Capacity,Larval Viability
109,Spawning Ground Quality,Fish Population Metrics,Spawning Stock Size,Egg Production Capacity,Spawning Ground Quality
110,Spawning Habitat Area,Fish Population Metrics,Spawning Stock Size,Spawning Habitat Area,
111,Seafloor Roughness,Fish Population Metrics,Spawning Stock Size,Spawning Habitat Area,Seafloor Roughness
112,Underwater Noise Levels,Fish Population Metrics,Spawning Stock Size,Spawning Habitat Area,Underwater Noise Levels
113,Spawning Frequency,Fish Population Metrics,Spawning Stock Size,Spawning Frequency,
114,Duration of Spawning Seasons,Fish Population Metrics,Spawning Stock Size,Spawning Frequency,Duration of Spawning Seasons
115,Number of Spawning Per Cycle,Fish Population Metrics,Spawning Stock Size,Spawning Frequency,Number of Spawning Per Cycle
116,Spawning Group Size,Fish Population Metrics,Spawning Stock Size,Spawning Frequency,Spawning Group Size
117,Fish Mortality Rates,Fish Population Metrics,Fish Mortality Rates,,
118,Species-specific Mortality,Fish Population Metrics,Fish Mortality Rates,Species-specific Mortality,
119,Habitat Displacement,Fish Population Metrics,Fish Mortality Rates,Species-specific Mortality,Habitat Displacement
120,Thermal Stress,Fish Population Metrics,Fish Mortality Rates,Species-specific Mortality,Thermal Stress
121,Age-specific Mortality,Fish Population Metrics,Fish Mortality Rates,Age-specific Mortality,
122,Spawning Success Rates,Fish Population Metrics,Fish Mortality Rates,Age-specific Mortality,Spawning Success Rates
123,Juvenile Growth Rates,Fish Population Metrics,Fish Mortality Rates,Age-specific Mortality,Juvenile Growth Rates
124,Maturity Age Distribution,Fish Population Metrics,Fish Mortality Rates,Age-specific Mortality,Maturity Age Distribution
125,Larval Survival,Fish Population Metrics,Fish Mortality Rates,Age-specific Mortality,Larval Survival
126,Adult Longevity,Fish Population Metrics,Fish Mortality Rates,Age-specific Mortality,Adult Longevity
127,Species Composition,Fish Population Metrics,Species Composition,,
128,Species Richness,Fish Population Metrics,Species Composition,Species Richness,
129,Number of Endemic Fish Species,Fish Population Metrics,Species Composition,Species Richness,Number of Endemic Fish Species
130,Diversity of Habitat Preferences Among Fish,Fish Population Metrics,Species Composition,Species Richness,Diversity of Habitat Preferences Among Fish
131,Variety of Trophic Levels Represented,Fish Population Metrics,Species Composition,Species Richness,Variety of Trophic Levels Represented
132,Range of Fish Morphological Traits,Fish Population Metrics,Species Composition,Species Richness,Range of Fish Morphological Traits
133,Variety of Migratory Fish Species,Fish Population Metrics,Species Composition,Species Richness,Variety of Migratory Fish Species
134,Species Evenness,Fish Population Metrics,Species Composition,Species Evenness,
135,Distribution of Fish Age Classes,Fish Population Metrics,Species Composition,Species Evenness,Distribution of Fish Age Classes
136,Relative Abundance of Non-native Species,Fish Population Metrics,Species Composition,Species Evenness,Relative Abundance of Non-native Species
137,Diversity of Fish Trophic Levels,Fish Population Metrics,Species Composition,Species Evenness,Diversity of Fish Trophic Levels
138,Balance of Predatory and Non-predatory Species,Fish Population Metrics,Species Composition,Species Evenness,Balance of Predatory and Non-predatory Species
139,Dominance of Invasive Species,Fish Population Metrics,Species Composition,Dominance of Invasive Species,
140,Invasive Species Biomass Relative to Native Species,Fish Population Metrics,Species Composition,Dominance of Invasive Species,Invasive Species Biomass Relative to Native Species
141,Invasive Species Reproduction Rates,Fish Population Metrics,Species Composition,Dominance of Invasive Species,Invasive Species Reproduction Rates
142,Invasive Predation on Native Fish,Fish Population Metrics,Species Composition,Dominance of Invasive Species,Invasive Predation on Native Fish
143,Genetic Diversity within Species,Fish Population Metrics,Species Composition,Genetic Diversity within Species,
144,Allele Frequency Variety,Fish Population Metrics,Species Composition,Genetic Diversity within Species,Allele Frequency Variety
145,Genetic Drift Degree,Fish Population Metrics,Species Composition,Genetic Diversity within Species,Genetic Drift Degree
146,Subpopulation Differentiation,Fish Population Metrics,Species Composition,Genetic Diversity within Species,Subpopulation Differentiation
147,Gene Flow Rate,Fish Population Metrics,Species Composition,Genetic Diversity within Species,Gene Flow Rate
148,Inbreeding Levels,Fish Population Metrics,Species Composition,Genetic Diversity within Species,Inbreeding Levels
149,Genetic Mutation Rates,Fish Population Metrics,Species Composition,Genetic Diversity within Species,Genetic Mutation Rates
150,Proportion of Demersal Species,Fish Population Metrics,Species Composition,Proportion of Demersal Species,
151,Age Structure of Demersal Species,Fish Population Metrics,Species Composition,Proportion of Demersal Species,Age Structure of Demersal Species
152,Reproductive Rate of Demersal Species,Fish Population Metrics,Species Composition,Proportion of Demersal Species,Reproductive Rate of Demersal Species
153,Spatial Distribution of Demersal Fish,Fish Population Metrics,Species Composition,Proportion of Demersal Species,Spatial Distribution of Demersal Fish
154,Juvenile Recruitment of Demersal Species,Fish Population Metrics,Species Composition,Proportion of Demersal Species,Juvenile Recruitment of Demersal Species
155,Mortality Rate of Demersal Species,Fish Population Metrics,Species Composition,Proportion of Demersal Species,Mortality Rate of Demersal Species
156,Biomass of Demersal Species,Fish Population Metrics,Species Composition,Proportion of Demersal Species,Biomass of Demersal Species
157,Presence of Sensitive Indicator Species,Fish Population Metrics,Species Composition,Presence of Sensitive Indicator Species,
158,Habitat Suitability Index,Fish Population Metrics,Species Composition,Presence of Sensitive Indicator Species,Habitat Suitability Index
159,Species Condition Factor,Fish Population Metrics,Species Composition,Presence of Sensitive Indicator Species,Species Condition Factor
160,Breeding Ground Accessibility,Fish Population Metrics,Species Composition,Presence of Sensitive Indicator Species,Breeding Ground Accessibility
161,Feeding Habitat Quality,Fish Population Metrics,Species Composition,Presence of Sensitive Indicator Species,Feeding Habitat Quality
162,Nursery Habitat Area,Fish Population Metrics,Species Composition,Presence of Sensitive Indicator Species,Nursery Habitat Area
163,Fishing Effort & Utilization,Fishing Effort & Utilization,,,
164,Vessel Count in Fishing Areas,Fishing Effort & Utilization,Vessel Count in Fishing Areas,,
165,Number of Active Fishing Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Number of Active Fishing Vessels,
166,Vessel Operational Days,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Number of Active Fishing Vessels,Vessel Operational Days
167,Fishing Trip Frequency,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Number of Active Fishing Vessels,Fishing Trip Frequency
168,Crew Size on Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Number of Active Fishing Vessels,Crew Size on Vessels
169,Fuel Consumption per Vessel,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Number of Active Fishing Vessels,Fuel Consumption per Vessel
170,Presence of Non-local Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Presence of Non-local Vessels,
171,Distance Traveled by Non-local Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Presence of Non-local Vessels,Distance Traveled by Non-local Vessels
172,Duration of Stay in Fishing Grounds by Non-local Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Presence of Non-local Vessels,Duration of Stay in Fishing Grounds by Non-local Vessels
173,Vessel Capacity Utilization,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Capacity Utilization,
174,Gear Allocation Efficiency,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Capacity Utilization,Gear Allocation Efficiency
175,Fishing Capacity Density,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Capacity Utilization,Fishing Capacity Density
176,Trip Duration Frequency,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Capacity Utilization,Trip Duration Frequency
177,Vessel Registration Variability,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Registration Variability,
178,Frequency of Vessel Registration Updates,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Registration Variability,Frequency of Vessel Registration Updates
179,Diversity in Vessel Ownership,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Registration Variability,Diversity in Vessel Ownership
180,Regional Distribution of Registered Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Registration Variability,Regional Distribution of Registered Vessels
181,Types of Registration Categories,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Registration Variability,Types of Registration Categories
182,Duration of Active Registrations,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Registration Variability,Duration of Active Registrations
183,Proportion of Renewable Energy Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Registration Variability,Proportion of Renewable Energy Vessels
184,Concentration of Vessel Types,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Concentration of Vessel Types,
185,Proportion of Trawl Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Concentration of Vessel Types,Proportion of Trawl Vessels
186,Density of Longline Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Concentration of Vessel Types,Density of Longline Vessels
187,Prevalence of Jigging Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Concentration of Vessel Types,Prevalence of Jigging Vessels
188,Dominance of Pot Fishing Vessels,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Concentration of Vessel Types,Dominance of Pot Fishing Vessels
189,Vessel Turnover Rates,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Turnover Rates,
190,Frequency of Vessel Replacement,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Turnover Rates,Frequency of Vessel Replacement
191,Seasonal Switching of Vessel Roles,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Turnover Rates,Seasonal Switching of Vessel Roles
192,Transfer of Vessel Ownership,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Turnover Rates,Transfer of Vessel Ownership
193,Vessel Decommissioning Rates,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Turnover Rates,Vessel Decommissioning Rates
194,Fleet Modernization Activities,Fishing Effort & Utilization,Vessel Count in Fishing Areas,Vessel Turnover Rates,Fleet Modernization Activities
195,Fishing Gear Type Usage,Fishing Effort & Utilization,Fishing Gear Type Usage,,
196,Selectivity of Fishing Gear,Fishing Effort & Utilization,Fishing Gear Type Usage,Selectivity of Fishing Gear,
197,Mesh Size Variation,Fishing Effort & Utilization,Fishing Gear Type Usage,Selectivity of Fishing Gear,Mesh Size Variation
198,Bycatch Composition,Fishing Effort & Utilization,Fishing Gear Type Usage,Selectivity of Fishing Gear,Bycatch Composition
199,Target Species Catch Rate,Fishing Effort & Utilization,Fishing Gear Type Usage,Selectivity of Fishing Gear,Target Species Catch Rate
200,Depth of Gear Deployment,Fishing Effort & Utilization,Fishing Gear Type Usage,Selectivity of Fishing Gear,Depth of Gear Deployment
201,Seasonal Gear Adjustment,Fishing Effort & Utilization,Fishing Gear Type Usage,Selectivity of Fishing Gear,Seasonal Gear Adjustment
202,Non-target Species Selectivity,Fishing Effort & Utilization,Fishing Gear Type Usage,Selectivity of Fishing Gear,Non-target Species Selectivity
203,Size Selectivity in Gear,Fishing Effort & Utilization,Fishing Gear Type Usage,Selectivity of Fishing Gear,Size Selectivity in Gear
204,Adaptation of Gear to Offshore Conditions,Fishing Effort & Utilization,Fishing Gear Type Usage,Adaptation of Gear to Offshore Conditions,
205,Resilience of Fishing Gear Materials,Fishing Effort & Utilization,Fishing Gear Type Usage,Adaptation of Gear to Offshore Conditions,Resilience of Fishing Gear Materials
206,Deployment Depth Capabilities,Fishing Effort & Utilization,Fishing Gear Type Usage,Adaptation of Gear to Offshore Conditions,Deployment Depth Capabilities
207,Gear Design Innovation for Stability,Fishing Effort & Utilization,Fishing Gear Type Usage,Adaptation of Gear to Offshore Conditions,Gear Design Innovation for Stability
208,Efficiency in Gear Retrieval,Fishing Effort & Utilization,Fishing Gear Type Usage,Adaptation of Gear to Offshore Conditions,Efficiency in Gear Retrieval
209,Compatibility with Offshore Currents,Fishing Effort & Utilization,Fishing Gear Type Usage,Adaptation of Gear to Offshore Conditions,Compatibility with Offshore Currents
210,Fishing Trip Duration,Fishing Effort & Utilization,Fishing Trip Duration,,
211,Distance Traveled During Fishing Trips,Fishing Effort & Utilization,Fishing Trip Duration,Distance Traveled During Fishing Trips,
212,Range of Fishing Locations,Fishing Effort & Utilization,Fishing Trip Duration,Distance Traveled During Fishing Trips,Range of Fishing Locations
213,Fuel Consumption for Fishing Ventures,Fishing Effort & Utilization,Fishing Trip Duration,Distance Traveled During Fishing Trips,Fuel Consumption for Fishing Ventures
214,Access to Remote Fishing Zones,Fishing Effort & Utilization,Fishing Trip Duration,Distance Traveled During Fishing Trips,Access to Remote Fishing Zones
215,Time Spent at Fishing Grounds,Fishing Effort & Utilization,Fishing Trip Duration,Time Spent at Fishing Grounds,
216,Duration of Fishing Activity,Fishing Effort & Utilization,Fishing Trip Duration,Time Spent at Fishing Grounds,Duration of Fishing Activity
217,Hours of Peak Fishing Effort,Fishing Effort & Utilization,Fishing Trip Duration,Time Spent at Fishing Grounds,Hours of Peak Fishing Effort
218,Length of Time Engaged in Gear Deployment,Fishing Effort & Utilization,Fishing Trip Duration,Time Spent at Fishing Grounds,Length of Time Engaged in Gear Deployment
219,Time Allocated for Navigating Between Fishing Sites,Fishing Effort & Utilization,Fishing Trip Duration,Time Spent at Fishing Grounds,Time Allocated for Navigating Between Fishing Sites
220,Time Spent on Catch Processing Aboard,Fishing Effort & Utilization,Fishing Trip Duration,Time Spent at Fishing Grounds,Time Spent on Catch Processing Aboard
221,Frequency of Fishing Trips Linked to Offshore Energy Areas,Fishing Effort & Utilization,Fishing Trip Duration,Frequency of Fishing Trips Linked to Offshore Energy Areas,
222,Number of Vessels Engaged in Fishing,Fishing Effort & Utilization,Fishing Trip Duration,Frequency of Fishing Trips Linked to Offshore Energy Areas,Number of Vessels Engaged in Fishing
223,Fishing Hours Allocated to Offshore Areas,Fishing Effort & Utilization,Fishing Trip Duration,Frequency of Fishing Trips Linked to Offshore Energy Areas,Fishing Hours Allocated to Offshore Areas
224,Frequency of Fish Catch Assessments Linked to Energy Areas,Fishing Effort & Utilization,Fishing Trip Duration,Frequency of Fishing Trips Linked to Offshore Energy Areas,Frequency of Fish Catch Assessments Linked to Energy Areas
225,Overlap of Fishing Routes with Energy Installations,Fishing Effort & Utilization,Fishing Trip Duration,Frequency of Fishing Trips Linked to Offshore Energy Areas,Overlap of Fishing Routes with Energy Installations
226,Fishing Area Coverage,Fishing Effort & Utilization,Fishing Area Coverage,,
227,Spatial Overlap with Energy Installations,Fishing Effort & Utilization,Fishing Area Coverage,Spatial Overlap with Energy Installations,
228,Fishing Effort Density,Fishing Effort & Utilization,Fishing Area Coverage,Spatial Overlap with Energy Installations,Fishing Effort Density
229,Fishing Gear Deployment,Fishing Effort & Utilization,Fishing Area Coverage,Spatial Overlap with Energy Installations,Fishing Gear Deployment
230,Vessel Traffic Intensity,Fishing Effort & Utilization,Fishing Area Coverage,Spatial Overlap with Energy Installations,Vessel Traffic Intensity
231,Spatial Allocation of Fishing Zones,Fishing Effort & Utilization,Fishing Area Coverage,Spatial Overlap with Energy Installations,Spatial Allocation of Fishing Zones
232,Access to Traditional Fishing Sites,Fishing Effort & Utilization,Fishing Area Coverage,Access to Traditional Fishing Sites,
233,Navigability of Fishing Areas,Fishing Effort & Utilization,Fishing Area Coverage,Access to Traditional Fishing Sites,Navigability of Fishing Areas
234,Physical Barriers to Fishing Sites,Fishing Effort & Utilization,Fishing Area Coverage,Access to Traditional Fishing Sites,Physical Barriers to Fishing Sites
235,Seasonal Access Variability,Fishing Effort & Utilization,Fishing Area Coverage,Access to Traditional Fishing Sites,Seasonal Access Variability
